seed,recorded_evaluation,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
22003,1,0.546999574,5.87061501,7.24349737,8,2.71181917,-64.3570404,61.2190552,0.0274350066,0.0261726342,0.0597274378,14.8428192,3479.37866,0,0,74.9894028,1.40213585,2.7536509,11.8056021
22003,1,1.15097082,2.58066463,5.55901337,8,3.66414905,35.4827194,-48.1897278,0.0031201127,0.0337721668,0.0566650368,26.4838715,4143.27734,0,0,44.6101265,4.29086208,2.75486541,6.26073313
22003,1,1.39659321,5.41993046,5.76952028,8,0.484914064,8.68200684,-61.8056335,0.0222956799,0.0532397963,0.0777507052,40.9887085,4506.396,0,0,173.436127,1.67713583,2.65238428,28.184433
22003,1,1.55174232,5.89791203,7.04873276,8,3.48020625,25.9631424,59.9033356,0.0136878649,0.0368840136,0.0352808163,32.1845169,3222.04419,0,0,102.473808,1.29465866,2.37197351,16.4678631
22003,1,2.25643921,2.67083263,6.70116425,8,0.971850455,66.3600006,18.6231384,0.0245587602,0.0691116825,0.0422505029,37.115181,2780.94165,0,0,44.991169,26.7720032,3.64852452,2.42844009
22003,1,1.2638073,3.39381146,6.45413733,8,1.84297681,13.4702454,27.1456375,0.0108996164,0.0403135195,0.0513676628,48.498436,3783.60791,0,0,24.8071728,7.15330362,3.24917293,2.40078282
22003,1,1.88906825,2.91631889,6.08921337,8,2.55941629,-75.0502777,65.1991882,0.0241910107,0.080135338,0.0525141768,-29.0392437,3917.15918,0,0,50.2851334,30.5749035,6.53858185,2.19527459
22003,1,1.15172207,3.47736406,6.51988077,8,3.18174577,-63.2820625,-30.3694153,0.0274542421,0.0169479735,0.0927137583,13.4342651,1298.10547,0,0,26.7788239,11.20473,3.05277634,2.08688617
22003,1,0.327615023,5.61221027,7.8926239,8,3.55568624,77.4833984,-77.8476715,0.0249460004,0.0908066109,0.0496761911,-15.1473503,3921.64771,-5,7,25.9815025,1.37392128,2.26526856,3.72371888
22003,1,1.36951292,4.22394133,5.99213266,8,3.01460075,-35.2526169,1.239151,0.0165370647,0.0890560001,0.0977103338,-33.5786171,1202.89941,0,0,72.4884338,2.28988719,2.46414351,11.2890682
22003,1,1.02976978,4.81347084,6.82737637,8,0.689219058,62.6208954,26.6995697,0.013741957,0.0457738005,0.0995051041,13.8893967,4852.29785,0,0,19.3336525,1.70995748,2.45139575,2.52871656
