seed,recorded_evaluation,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
33007,1,0.592694521,5.99825859,7.97821331,8,3.23488522,60.7496796,-56.8078346,0.0185791738,0.0383170694,0.0615773685,-43.2692795,2402.77954,0,0,97.0096512,1.78045082,2.24349928,15.4976177
33007,1,0.285271645,3.22083616,5.68119049,8,2.26683974,50.3796234,-8.24652863,0.0213428885,0.0197626874,0.0217055194,45.1511765,2724.41309,0,0,71.4139404,4.99675941,2.67339396,10.6239643
33007,1,0.833806217,5.61672878,7.38733435,8,1.09701502,-11.1622696,-60.2038422,0.0150008211,0.0266160965,0.0891239643,-36.5187569,1524.60901,0,0,137.997391,1.77890587,2.05707407,22.3602371
33007,1,1.47057521,2.48937964,7.3431139,8,2.87347364,24.8058167,-31.3436394,0.02531741,0.0923196152,0.0763155296,-36.6444817,1285.17444,0,0,210.235947,111.604324,5.53153849,15.5166817
33007,1,0.813153207,2.49863768,5.80102062,8,1.78167868,58.2284546,-37.6894722,0.0198719967,0.0680670068,0.0957405642,41.2075653,4057.2146,0,0,85.0415497,62.224659,5.24242783,2.92907667
33007,1,1.5414356,4.18895292,5.73552895,8,3.70238638,-68.1859207,32.0069504,0.00953656062,0.0289415084,0.0568544455,20.4854431,1706.09534,5,-6,264.114899,1.39489317,2.69883156,43.3368645
33007,1,0.955195725,3.46628428,6.08589554,8,2.54309249,8.59063721,10.5262299,0.00280807959,0.0667372197,0.0794114321,-0.780609131,3848.0564,5,-1,253.535889,1.44177604,2.47821784,41.6026497
33007,1,2.08073783,2.62652349,7.00564623,8,2.18024921,15.9452515,18.7375717,0.0211556815,0.0477339104,0.0609840043,-46.5305824,567.081665,0,0,53.0851898,7.8807044,3.73086739,6.91227007
33007,1,2.25092959,5.6163311,6.26696444,8,2.43007255,59.9271393,77.7875671,0.0236114785,0.0432478338,0.0608438142,-6.22058105,4021.63818,0,0,1048.32898,1.77551842,2.45028305,174.017197
33007,1,0.412269324,2.45931244,6.94146824,8,1.41260409,38.147438,19.2028122,0.0141864577,0.00741556287,0.0610567629,-52.3787956,1872.67346,0,0,74.3943481,66.6337967,3.47526956,0.714213192
33007,1,0.759097934,3.84139824,5.79101801,8,0.122030839,-8.72743225,-6.66430664,0.0262901895,0.0828234032,0.056821309,-42.7208595,329.516113,0,0,334.304871,1.76467133,3.10215783,54.9063377
33007,1,2.16248894,2.28424883,5.86370325,8,2.56779146,14.2095184,58.6256866,0.0246505253,0.0126592815,0.0124738533,46.6899109,3286.64185,0,0,67.7065506,10.8384743,2.18325281,9.1141386
33007,1,1.90064967,2.36035466,6.79063988,8,1.7795136,-2.87255096,87.9039001,0.0110143842,0.0142145976,0.056057252,-11.4797554,804.967285,0,0,28.4183369,7.74790287,2.58555818,3.01414609
